"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2017-10-25 19:48:51 +02:00"

"Country / territory of asylum/residence",Origin,Year,Month,Value
Bulgaria,"Syrian Arab Rep.",2012,August,41
Bulgaria,"Syrian Arab Rep.",2012,September,48
Bulgaria,"Syrian Arab Rep.",2012,October,116
Bulgaria,"Syrian Arab Rep.",2012,November,51
Bulgaria,"Syrian Arab Rep.",2012,December,96
Bulgaria,"Syrian Arab Rep.",2013,January,85
Bulgaria,"Syrian Arab Rep.",2013,February,42
Bulgaria,"Syrian Arab Rep.",2013,March,179
Bulgaria,"Syrian Arab Rep.",2013,April,98
Bulgaria,"Syrian Arab Rep.",2013,May,117
Bulgaria,"Syrian Arab Rep.",2013,June,200
Bulgaria,"Syrian Arab Rep.",2013,July,110
Bulgaria,"Syrian Arab Rep.",2013,August,507
Bulgaria,"Syrian Arab Rep.",2013,September,670
Bulgaria,"Syrian Arab Rep.",2013,October,911
Bulgaria,"Syrian Arab Rep.",2013,November,1038
Bulgaria,"Syrian Arab Rep.",2013,December,490
Bulgaria,"Syrian Arab Rep.",2014,January,660
Bulgaria,"Syrian Arab Rep.",2014,February,423
Bulgaria,"Syrian Arab Rep.",2014,March,220
Bulgaria,"Syrian Arab Rep.",2014,April,143
Bulgaria,"Syrian Arab Rep.",2014,May,259
Bulgaria,"Syrian Arab Rep.",2014,June,363
Bulgaria,"Syrian Arab Rep.",2014,July,467
Bulgaria,"Syrian Arab Rep.",2014,August,767
Bulgaria,"Syrian Arab Rep.",2014,September,799
Bulgaria,"Syrian Arab Rep.",2014,October,656
Bulgaria,"Syrian Arab Rep.",2014,November,714
Bulgaria,"Syrian Arab Rep.",2014,December,731
Bulgaria,"Syrian Arab Rep.",2015,January,591
Bulgaria,"Syrian Arab Rep.",2015,February,460
Bulgaria,"Syrian Arab Rep.",2015,March,401
Bulgaria,"Syrian Arab Rep.",2015,April,547
Bulgaria,"Syrian Arab Rep.",2015,May,530
Bulgaria,"Syrian Arab Rep.",2015,June,852
Bulgaria,"Syrian Arab Rep.",2015,July,677
Bulgaria,"Syrian Arab Rep.",2015,August,517
Bulgaria,"Syrian Arab Rep.",2015,September,453
Bulgaria,"Syrian Arab Rep.",2015,October,440
Bulgaria,"Syrian Arab Rep.",2015,November,322
Bulgaria,"Syrian Arab Rep.",2015,December,160
Bulgaria,"Syrian Arab Rep.",2016,January,205
Bulgaria,"Syrian Arab Rep.",2016,February,140
Bulgaria,"Syrian Arab Rep.",2016,March,93
Bulgaria,"Syrian Arab Rep.",2016,April,143
Bulgaria,"Syrian Arab Rep.",2016,May,140
Bulgaria,"Syrian Arab Rep.",2016,June,208
Bulgaria,"Syrian Arab Rep.",2016,July,149
Bulgaria,"Syrian Arab Rep.",2016,August,335
Bulgaria,"Syrian Arab Rep.",2016,September,270
Bulgaria,"Syrian Arab Rep.",2016,October,386
Norway,"Syrian Arab Rep.",2010,January,6
Norway,"Syrian Arab Rep.",2010,February,22
Norway,"Syrian Arab Rep.",2010,March,10
Norway,"Syrian Arab Rep.",2010,April,8
Norway,"Syrian Arab Rep.",2010,May,5
Norway,"Syrian Arab Rep.",2010,June,2
Norway,"Syrian Arab Rep.",2010,July,5
Norway,"Syrian Arab Rep.",2010,August,13
Norway,"Syrian Arab Rep.",2010,September,8
Norway,"Syrian Arab Rep.",2010,October,10
Norway,"Syrian Arab Rep.",2010,November,14
Norway,"Syrian Arab Rep.",2010,December,7
Norway,"Syrian Arab Rep.",2011,January,21
Norway,"Syrian Arab Rep.",2011,February,6
Norway,"Syrian Arab Rep.",2011,March,8
Norway,"Syrian Arab Rep.",2011,April,10
Norway,"Syrian Arab Rep.",2011,May,6
Norway,"Syrian Arab Rep.",2011,June,8
Norway,"Syrian Arab Rep.",2011,July,12
Norway,"Syrian Arab Rep.",2011,August,21
Norway,"Syrian Arab Rep.",2011,September,21
Norway,"Syrian Arab Rep.",2011,October,29
Norway,"Syrian Arab Rep.",2011,November,20
Norway,"Syrian Arab Rep.",2011,December,27
Norway,"Syrian Arab Rep.",2012,January,21
Norway,"Syrian Arab Rep.",2012,February,2
Norway,"Syrian Arab Rep.",2012,March,12
Norway,"Syrian Arab Rep.",2012,April,18
Norway,"Syrian Arab Rep.",2012,May,13
Norway,"Syrian Arab Rep.",2012,June,30
Norway,"Syrian Arab Rep.",2012,July,23
Norway,"Syrian Arab Rep.",2012,August,33
Norway,"Syrian Arab Rep.",2012,September,38
Norway,"Syrian Arab Rep.",2012,October,48
Norway,"Syrian Arab Rep.",2012,November,45
Norway,"Syrian Arab Rep.",2012,December,29
Norway,"Syrian Arab Rep.",2013,January,45
Norway,"Syrian Arab Rep.",2013,February,34
Norway,"Syrian Arab Rep.",2013,March,36
Norway,"Syrian Arab Rep.",2013,April,46
Norway,"Syrian Arab Rep.",2013,May,45
Norway,"Syrian Arab Rep.",2013,June,53
Norway,"Syrian Arab Rep.",2013,July,92
Norway,"Syrian Arab Rep.",2013,August,99
Norway,"Syrian Arab Rep.",2013,September,106
Norway,"Syrian Arab Rep.",2013,October,116
Norway,"Syrian Arab Rep.",2013,November,87
Norway,"Syrian Arab Rep.",2013,December,109
Norway,"Syrian Arab Rep.",2014,January,118
Norway,"Syrian Arab Rep.",2014,February,69
Norway,"Syrian Arab Rep.",2014,March,95
Norway,"Syrian Arab Rep.",2014,April,88
Norway,"Syrian Arab Rep.",2014,May,133
Norway,"Syrian Arab Rep.",2014,June,186
Norway,"Syrian Arab Rep.",2014,July,173
Norway,"Syrian Arab Rep.",2014,August,247
Norway,"Syrian Arab Rep.",2014,September,293
Norway,"Syrian Arab Rep.",2014,October,210
Norway,"Syrian Arab Rep.",2014,November,178
Norway,"Syrian Arab Rep.",2014,December,188
Norway,"Syrian Arab Rep.",2015,January,114
Norway,"Syrian Arab Rep.",2015,February,83
Norway,"Syrian Arab Rep.",2015,March,76
Norway,"Syrian Arab Rep.",2015,April,89
Norway,"Syrian Arab Rep.",2015,May,94
Norway,"Syrian Arab Rep.",2015,June,178
Norway,"Syrian Arab Rep.",2015,July,310
Norway,"Syrian Arab Rep.",2015,August,865
Norway,"Syrian Arab Rep.",2015,September,2642
Norway,"Syrian Arab Rep.",2015,October,3394
Norway,"Syrian Arab Rep.",2015,November,2405
Norway,"Syrian Arab Rep.",2015,December,270
Norway,"Syrian Arab Rep.",2016,January,85
Norway,"Syrian Arab Rep.",2016,February,53
Norway,"Syrian Arab Rep.",2016,March,41
Norway,"Syrian Arab Rep.",2016,April,31
Norway,"Syrian Arab Rep.",2016,May,26
Norway,"Syrian Arab Rep.",2016,June,44
Norway,"Syrian Arab Rep.",2016,July,42
Norway,"Syrian Arab Rep.",2016,August,51
Norway,"Syrian Arab Rep.",2016,September,63
Norway,"Syrian Arab Rep.",2016,October,24
Norway,"Syrian Arab Rep.",2016,November,34
Norway,"Syrian Arab Rep.",2016,December,35
Norway,"Syrian Arab Rep.",2017,January,168
Norway,"Syrian Arab Rep.",2017,February,62
Norway,"Syrian Arab Rep.",2017,March,116
Norway,"Syrian Arab Rep.",2017,April,87
Norway,"Syrian Arab Rep.",2017,May,138
Norway,"Syrian Arab Rep.",2017,June,207
"New Zealand","Syrian Arab Rep.",2010,April,1
"New Zealand","Syrian Arab Rep.",2010,May,1
"New Zealand","Syrian Arab Rep.",2010,June,1
"New Zealand","Syrian Arab Rep.",2011,August,2
"New Zealand","Syrian Arab Rep.",2012,March,6
"New Zealand","Syrian Arab Rep.",2012,May,1
"New Zealand","Syrian Arab Rep.",2012,July,1
"New Zealand","Syrian Arab Rep.",2012,August,1
"New Zealand","Syrian Arab Rep.",2012,October,2
"New Zealand","Syrian Arab Rep.",2012,November,2
"New Zealand","Syrian Arab Rep.",2013,January,3
"New Zealand","Syrian Arab Rep.",2013,October,4
"New Zealand","Syrian Arab Rep.",2013,December,3
"New Zealand","Syrian Arab Rep.",2014,January,1
"New Zealand","Syrian Arab Rep.",2014,March,1
"New Zealand","Syrian Arab Rep.",2014,April,4
"New Zealand","Syrian Arab Rep.",2014,August,1
"New Zealand","Syrian Arab Rep.",2014,November,5
"New Zealand","Syrian Arab Rep.",2015,June,6
"New Zealand","Syrian Arab Rep.",2015,July,4
"New Zealand","Syrian Arab Rep.",2015,December,3
"New Zealand","Syrian Arab Rep.",2016,March,*
"New Zealand","Syrian Arab Rep.",2016,May,*
"New Zealand","Syrian Arab Rep.",2016,September,5
"New Zealand","Syrian Arab Rep.",2017,January,*
"New Zealand","Syrian Arab Rep.",2017,May,*
"New Zealand","Syrian Arab Rep.",2017,July,*
Portugal,"Syrian Arab Rep.",2012,May,2
Portugal,"Syrian Arab Rep.",2012,June,6
Portugal,"Syrian Arab Rep.",2012,August,3
Portugal,"Syrian Arab Rep.",2012,September,3
Portugal,"Syrian Arab Rep.",2012,October,1
Portugal,"Syrian Arab Rep.",2012,November,5
Portugal,"Syrian Arab Rep.",2013,January,7
Portugal,"Syrian Arab Rep.",2013,February,10
Portugal,"Syrian Arab Rep.",2013,March,3
Portugal,"Syrian Arab Rep.",2013,April,47
Portugal,"Syrian Arab Rep.",2013,May,2
Portugal,"Syrian Arab Rep.",2013,October,1
Portugal,"Syrian Arab Rep.",2013,December,76
Portugal,"Syrian Arab Rep.",2014,March,2
Portugal,"Syrian Arab Rep.",2014,May,1
Portugal,"Syrian Arab Rep.",2014,June,2
Portugal,"Syrian Arab Rep.",2014,July,2
Portugal,"Syrian Arab Rep.",2014,August,6
Portugal,"Syrian Arab Rep.",2014,September,2
Portugal,"Syrian Arab Rep.",2014,October,2
Portugal,"Syrian Arab Rep.",2014,December,1
Portugal,"Syrian Arab Rep.",2015,May,4
Portugal,"Syrian Arab Rep.",2015,June,2
Portugal,"Syrian Arab Rep.",2015,October,7
Portugal,"Syrian Arab Rep.",2015,November,5
Portugal,"Syrian Arab Rep.",2015,December,4
Portugal,"Syrian Arab Rep.",2016,January,*
Portugal,"Syrian Arab Rep.",2016,February,8
Portugal,"Syrian Arab Rep.",2016,March,52
Portugal,"Syrian Arab Rep.",2016,May,84
Portugal,"Syrian Arab Rep.",2016,June,97
Portugal,"Syrian Arab Rep.",2016,July,7
Portugal,"Syrian Arab Rep.",2016,September,88
Portugal,"Syrian Arab Rep.",2016,October,12
Portugal,"Syrian Arab Rep.",2016,November,37
Portugal,"Syrian Arab Rep.",2016,December,42
Portugal,"Syrian Arab Rep.",2017,January,136
Portugal,"Syrian Arab Rep.",2017,February,81
Poland,"Syrian Arab Rep.",2010,March,3
Poland,"Syrian Arab Rep.",2010,June,1
Poland,"Syrian Arab Rep.",2010,July,1
Poland,"Syrian Arab Rep.",2010,August,1
Poland,"Syrian Arab Rep.",2010,September,1
Poland,"Syrian Arab Rep.",2010,October,1
Poland,"Syrian Arab Rep.",2011,March,4
Poland,"Syrian Arab Rep.",2011,May,1
Poland,"Syrian Arab Rep.",2011,September,5
Poland,"Syrian Arab Rep.",2012,February,1
Poland,"Syrian Arab Rep.",2012,March,2
Poland,"Syrian Arab Rep.",2012,April,4
Poland,"Syrian Arab Rep.",2012,June,3
Poland,"Syrian Arab Rep.",2012,July,2
Poland,"Syrian Arab Rep.",2012,August,2
Poland,"Syrian Arab Rep.",2012,September,6
Poland,"Syrian Arab Rep.",2012,October,39
Poland,"Syrian Arab Rep.",2012,November,28
Poland,"Syrian Arab Rep.",2012,December,20
Poland,"Syrian Arab Rep.",2013,January,51
Poland,"Syrian Arab Rep.",2013,February,16
Poland,"Syrian Arab Rep.",2013,March,18
Poland,"Syrian Arab Rep.",2013,April,8
Poland,"Syrian Arab Rep.",2013,May,16
Poland,"Syrian Arab Rep.",2013,June,35
Poland,"Syrian Arab Rep.",2013,July,33
Poland,"Syrian Arab Rep.",2013,August,10
Poland,"Syrian Arab Rep.",2013,September,23
Poland,"Syrian Arab Rep.",2013,October,17
Poland,"Syrian Arab Rep.",2013,November,18
Poland,"Syrian Arab Rep.",2013,December,10
Poland,"Syrian Arab Rep.",2014,January,8
Poland,"Syrian Arab Rep.",2014,February,10
Poland,"Syrian Arab Rep.",2014,March,9
Poland,"Syrian Arab Rep.",2014,April,2
Poland,"Syrian Arab Rep.",2014,May,4
Poland,"Syrian Arab Rep.",2014,June,10
Poland,"Syrian Arab Rep.",2014,July,7
Poland,"Syrian Arab Rep.",2014,August,7
Poland,"Syrian Arab Rep.",2014,September,16
Poland,"Syrian Arab Rep.",2014,October,9
Poland,"Syrian Arab Rep.",2014,November,9
Poland,"Syrian Arab Rep.",2014,December,13
Poland,"Syrian Arab Rep.",2015,January,10
Poland,"Syrian Arab Rep.",2015,February,3
Poland,"Syrian Arab Rep.",2015,March,13
Poland,"Syrian Arab Rep.",2015,April,4
Poland,"Syrian Arab Rep.",2015,May,15
Poland,"Syrian Arab Rep.",2015,June,10
Poland,"Syrian Arab Rep.",2015,July,159
Poland,"Syrian Arab Rep.",2015,August,23
Poland,"Syrian Arab Rep.",2015,September,15
Poland,"Syrian Arab Rep.",2015,October,13
Poland,"Syrian Arab Rep.",2015,November,13
Poland,"Syrian Arab Rep.",2015,December,7
Poland,"Syrian Arab Rep.",2016,January,*
Poland,"Syrian Arab Rep.",2016,February,11
Poland,"Syrian Arab Rep.",2016,March,*
Poland,"Syrian Arab Rep.",2016,April,*
Poland,"Syrian Arab Rep.",2016,May,8
Poland,"Syrian Arab Rep.",2016,June,*
Poland,"Syrian Arab Rep.",2016,July,*
Poland,"Syrian Arab Rep.",2016,August,*
Poland,"Syrian Arab Rep.",2016,September,*
Poland,"Syrian Arab Rep.",2016,October,*
Poland,"Syrian Arab Rep.",2016,November,*
Poland,"Syrian Arab Rep.",2017,January,*
Poland,"Syrian Arab Rep.",2017,February,8
Poland,"Syrian Arab Rep.",2017,March,8
Poland,"Syrian Arab Rep.",2017,April,*
Poland,"Syrian Arab Rep.",2017,May,*
Romania,"Syrian Arab Rep.",2010,January,2
Romania,"Syrian Arab Rep.",2010,February,1
Romania,"Syrian Arab Rep.",2010,April,1
Romania,"Syrian Arab Rep.",2010,May,3
Romania,"Syrian Arab Rep.",2010,June,4
Romania,"Syrian Arab Rep.",2010,July,1
Romania,"Syrian Arab Rep.",2010,August,7
Romania,"Syrian Arab Rep.",2011,January,1
Romania,"Syrian Arab Rep.",2011,February,1
Romania,"Syrian Arab Rep.",2011,March,2
Romania,"Syrian Arab Rep.",2011,April,5
Romania,"Syrian Arab Rep.",2011,May,2
Romania,"Syrian Arab Rep.",2011,June,2
Romania,"Syrian Arab Rep.",2011,July,1
Romania,"Syrian Arab Rep.",2011,August,4
Romania,"Syrian Arab Rep.",2011,September,6
Romania,"Syrian Arab Rep.",2011,October,3
Romania,"Syrian Arab Rep.",2011,November,5
Romania,"Syrian Arab Rep.",2011,December,4
Romania,"Syrian Arab Rep.",2012,January,5
Romania,"Syrian Arab Rep.",2012,February,7
Romania,"Syrian Arab Rep.",2012,March,22
Romania,"Syrian Arab Rep.",2012,April,16
Romania,"Syrian Arab Rep.",2012,May,14
Romania,"Syrian Arab Rep.",2012,June,24
Romania,"Syrian Arab Rep.",2012,August,60
Romania,"Syrian Arab Rep.",2012,September,24
Romania,"Syrian Arab Rep.",2012,October,23
Romania,"Syrian Arab Rep.",2012,November,38
Romania,"Syrian Arab Rep.",2012,December,23
Romania,"Syrian Arab Rep.",2013,January,71
Romania,"Syrian Arab Rep.",2013,February,61
Romania,"Syrian Arab Rep.",2013,March,84
Romania,"Syrian Arab Rep.",2013,April,85
Romania,"Syrian Arab Rep.",2013,May,95
Romania,"Syrian Arab Rep.",2013,June,80
Romania,"Syrian Arab Rep.",2013,July,144
Romania,"Syrian Arab Rep.",2013,August,61
Romania,"Syrian Arab Rep.",2013,September,120
Romania,"Syrian Arab Rep.",2013,October,91
Romania,"Syrian Arab Rep.",2013,November,73
Romania,"Syrian Arab Rep.",2013,December,51
Romania,"Syrian Arab Rep.",2014,January,51
Romania,"Syrian Arab Rep.",2014,February,92
Romania,"Syrian Arab Rep.",2014,March,57
Romania,"Syrian Arab Rep.",2014,April,34
Romania,"Syrian Arab Rep.",2014,May,32
Romania,"Syrian Arab Rep.",2014,June,47
Romania,"Syrian Arab Rep.",2014,July,30
Romania,"Syrian Arab Rep.",2014,August,26
Romania,"Syrian Arab Rep.",2014,September,86
Romania,"Syrian Arab Rep.",2014,October,63
Romania,"Syrian Arab Rep.",2014,November,33
Romania,"Syrian Arab Rep.",2014,December,63
Romania,"Syrian Arab Rep.",2015,January,59
Romania,"Syrian Arab Rep.",2015,February,29
Romania,"Syrian Arab Rep.",2015,March,75
Romania,"Syrian Arab Rep.",2015,April,133
Romania,"Syrian Arab Rep.",2015,May,39
Romania,"Syrian Arab Rep.",2015,June,39
Romania,"Syrian Arab Rep.",2015,July,40
Romania,"Syrian Arab Rep.",2015,August,32
Romania,"Syrian Arab Rep.",2015,September,31
Romania,"Syrian Arab Rep.",2015,October,32
Romania,"Syrian Arab Rep.",2015,November,22
Romania,"Syrian Arab Rep.",2015,December,21
Romania,"Syrian Arab Rep.",2016,January,6
Romania,"Syrian Arab Rep.",2016,February,25
Romania,"Syrian Arab Rep.",2016,March,24
Romania,"Syrian Arab Rep.",2016,April,40
Romania,"Syrian Arab Rep.",2016,May,17
Romania,"Syrian Arab Rep.",2016,June,41
Romania,"Syrian Arab Rep.",2016,July,58
Romania,"Syrian Arab Rep.",2016,August,76
Romania,"Syrian Arab Rep.",2016,September,103
Romania,"Syrian Arab Rep.",2016,December,92
Romania,"Syrian Arab Rep.",2017,January,41
Romania,"Syrian Arab Rep.",2017,February,33
Romania,"Syrian Arab Rep.",2017,March,97
Romania,"Syrian Arab Rep.",2017,April,87
Romania,"Syrian Arab Rep.",2017,May,102
Romania,"Syrian Arab Rep.",2017,June,120
Canada,"Syrian Arab Rep.",2010,January,11
Canada,"Syrian Arab Rep.",2010,February,1
Canada,"Syrian Arab Rep.",2010,March,13
Canada,"Syrian Arab Rep.",2010,April,9
Canada,"Syrian Arab Rep.",2010,May,11
Canada,"Syrian Arab Rep.",2010,June,15
Canada,"Syrian Arab Rep.",2010,July,6
Canada,"Syrian Arab Rep.",2010,August,7
Canada,"Syrian Arab Rep.",2010,September,22
Canada,"Syrian Arab Rep.",2010,October,9
Canada,"Syrian Arab Rep.",2010,November,9
Canada,"Syrian Arab Rep.",2010,December,13
Canada,"Syrian Arab Rep.",2011,January,12
Canada,"Syrian Arab Rep.",2011,February,10
Canada,"Syrian Arab Rep.",2011,March,13
Canada,"Syrian Arab Rep.",2011,April,7
Canada,"Syrian Arab Rep.",2011,May,17
Canada,"Syrian Arab Rep.",2011,June,11
Canada,"Syrian Arab Rep.",2011,July,10
Canada,"Syrian Arab Rep.",2011,August,12
Canada,"Syrian Arab Rep.",2011,September,17
Canada,"Syrian Arab Rep.",2011,October,24
Canada,"Syrian Arab Rep.",2011,November,24
Canada,"Syrian Arab Rep.",2011,December,19
Canada,"Syrian Arab Rep.",2012,January,29
Canada,"Syrian Arab Rep.",2012,February,25
Canada,"Syrian Arab Rep.",2012,March,23
Canada,"Syrian Arab Rep.",2012,April,20
Canada,"Syrian Arab Rep.",2012,May,17
Canada,"Syrian Arab Rep.",2012,June,19
Canada,"Syrian Arab Rep.",2012,July,19
Canada,"Syrian Arab Rep.",2012,August,33
Canada,"Syrian Arab Rep.",2012,September,36
Canada,"Syrian Arab Rep.",2012,October,42
Canada,"Syrian Arab Rep.",2012,November,37
Canada,"Syrian Arab Rep.",2012,December,36
Canada,"Syrian Arab Rep.",2013,January,19
Canada,"Syrian Arab Rep.",2013,February,11
Canada,"Syrian Arab Rep.",2013,March,44
Canada,"Syrian Arab Rep.",2013,April,47
Canada,"Syrian Arab Rep.",2013,May,39
Canada,"Syrian Arab Rep.",2013,June,31
Canada,"Syrian Arab Rep.",2013,July,31
Canada,"Syrian Arab Rep.",2013,August,36
Canada,"Syrian Arab Rep.",2013,September,66
Canada,"Syrian Arab Rep.",2013,October,55
Canada,"Syrian Arab Rep.",2013,November,45
Canada,"Syrian Arab Rep.",2013,December,69
Canada,"Syrian Arab Rep.",2014,January,54
Canada,"Syrian Arab Rep.",2014,February,36
Canada,"Syrian Arab Rep.",2014,March,41
Canada,"Syrian Arab Rep.",2014,April,21
Canada,"Syrian Arab Rep.",2014,May,46
Canada,"Syrian Arab Rep.",2014,June,49
Canada,"Syrian Arab Rep.",2014,July,69
Canada,"Syrian Arab Rep.",2014,August,25
Canada,"Syrian Arab Rep.",2014,September,58
Canada,"Syrian Arab Rep.",2014,October,77
Canada,"Syrian Arab Rep.",2014,November,45
Canada,"Syrian Arab Rep.",2014,December,37
Canada,"Syrian Arab Rep.",2015,January,47
Canada,"Syrian Arab Rep.",2015,February,33
Canada,"Syrian Arab Rep.",2015,March,20
Canada,"Syrian Arab Rep.",2015,April,15
Canada,"Syrian Arab Rep.",2015,May,36
Canada,"Syrian Arab Rep.",2015,June,73
Canada,"Syrian Arab Rep.",2015,July,56
Canada,"Syrian Arab Rep.",2015,August,56
Canada,"Syrian Arab Rep.",2015,September,65
Canada,"Syrian Arab Rep.",2015,October,70
Canada,"Syrian Arab Rep.",2015,November,47
Canada,"Syrian Arab Rep.",2015,December,63
Canada,"Syrian Arab Rep.",2016,January,96
Canada,"Syrian Arab Rep.",2016,February,104
Canada,"Syrian Arab Rep.",2016,March,72
Canada,"Syrian Arab Rep.",2016,April,51
Canada,"Syrian Arab Rep.",2016,May,53
Canada,"Syrian Arab Rep.",2016,June,69
Canada,"Syrian Arab Rep.",2016,July,67
Canada,"Syrian Arab Rep.",2016,August,97
Canada,"Syrian Arab Rep.",2016,September,109
Canada,"Syrian Arab Rep.",2016,October,79
Canada,"Syrian Arab Rep.",2016,November,77
Canada,"Syrian Arab Rep.",2016,December,84
Canada,"Syrian Arab Rep.",2017,January,68
Canada,"Syrian Arab Rep.",2017,February,140
Canada,"Syrian Arab Rep.",2017,March,110
Canada,"Syrian Arab Rep.",2017,April,76
Canada,"Syrian Arab Rep.",2017,May,61
Canada,"Syrian Arab Rep.",2017,June,99
Canada,"Syrian Arab Rep.",2017,July,95
Spain,"Syrian Arab Rep.",2010,January,8
Spain,"Syrian Arab Rep.",2010,February,2
Spain,"Syrian Arab Rep.",2010,March,3
Spain,"Syrian Arab Rep.",2010,May,1
Spain,"Syrian Arab Rep.",2010,August,2
Spain,"Syrian Arab Rep.",2010,September,1
Spain,"Syrian Arab Rep.",2010,November,1
Spain,"Syrian Arab Rep.",2010,December,1
Spain,"Syrian Arab Rep.",2011,March,5
Spain,"Syrian Arab Rep.",2011,April,2
Spain,"Syrian Arab Rep.",2011,May,4
Spain,"Syrian Arab Rep.",2011,July,4
Spain,"Syrian Arab Rep.",2011,August,25
Spain,"Syrian Arab Rep.",2011,September,42
Spain,"Syrian Arab Rep.",2011,October,7
Spain,"Syrian Arab Rep.",2011,November,2
Spain,"Syrian Arab Rep.",2011,December,6
Spain,"Syrian Arab Rep.",2012,January,19
Spain,"Syrian Arab Rep.",2012,February,22
Spain,"Syrian Arab Rep.",2012,March,12
Spain,"Syrian Arab Rep.",2012,April,7
Spain,"Syrian Arab Rep.",2012,May,8
Spain,"Syrian Arab Rep.",2012,June,32
Spain,"Syrian Arab Rep.",2012,July,25
Spain,"Syrian Arab Rep.",2012,August,24
Spain,"Syrian Arab Rep.",2012,September,32
Spain,"Syrian Arab Rep.",2012,October,28
Spain,"Syrian Arab Rep.",2012,November,26
Spain,"Syrian Arab Rep.",2012,December,20
Spain,"Syrian Arab Rep.",2013,January,47
Spain,"Syrian Arab Rep.",2013,February,79
Spain,"Syrian Arab Rep.",2013,March,36
Spain,"Syrian Arab Rep.",2013,April,62
Spain,"Syrian Arab Rep.",2013,May,57
Spain,"Syrian Arab Rep.",2013,June,79
Spain,"Syrian Arab Rep.",2013,July,68
Spain,"Syrian Arab Rep.",2013,August,49
Spain,"Syrian Arab Rep.",2013,September,67
Spain,"Syrian Arab Rep.",2013,October,63
Spain,"Syrian Arab Rep.",2013,November,63
Spain,"Syrian Arab Rep.",2013,December,55
Spain,"Syrian Arab Rep.",2014,January,41
Spain,"Syrian Arab Rep.",2014,February,93
Spain,"Syrian Arab Rep.",2014,March,96
Spain,"Syrian Arab Rep.",2014,April,76
Spain,"Syrian Arab Rep.",2014,May,74
Spain,"Syrian Arab Rep.",2014,June,129
Spain,"Syrian Arab Rep.",2014,July,88
Spain,"Syrian Arab Rep.",2014,August,93
Spain,"Syrian Arab Rep.",2014,September,118
Spain,"Syrian Arab Rep.",2014,October,288
Spain,"Syrian Arab Rep.",2014,November,213
Spain,"Syrian Arab Rep.",2014,December,357
Spain,"Syrian Arab Rep.",2015,January,432
Spain,"Syrian Arab Rep.",2015,February,330
Spain,"Syrian Arab Rep.",2015,March,568
Spain,"Syrian Arab Rep.",2015,April,797
Spain,"Syrian Arab Rep.",2015,May,474
Spain,"Syrian Arab Rep.",2015,June,558
Spain,"Syrian Arab Rep.",2015,July,356
Spain,"Syrian Arab Rep.",2015,August,343
Spain,"Syrian Arab Rep.",2015,September,479
Spain,"Syrian Arab Rep.",2015,October,556
Spain,"Syrian Arab Rep.",2015,November,547
Spain,"Syrian Arab Rep.",2015,December,187
Spain,"Syrian Arab Rep.",2016,January,151
Spain,"Syrian Arab Rep.",2016,February,93
Spain,"Syrian Arab Rep.",2016,March,88
Spain,"Syrian Arab Rep.",2016,April,164
Spain,"Syrian Arab Rep.",2016,May,355
Spain,"Syrian Arab Rep.",2016,June,346
Spain,"Syrian Arab Rep.",2016,July,175
Spain,"Syrian Arab Rep.",2016,August,329
Spain,"Syrian Arab Rep.",2016,September,307
Spain,"Syrian Arab Rep.",2016,October,379
Spain,"Syrian Arab Rep.",2016,November,289
Spain,"Syrian Arab Rep.",2016,December,376
Spain,"Syrian Arab Rep.",2017,January,238
Spain,"Syrian Arab Rep.",2017,February,160
Spain,"Syrian Arab Rep.",2017,March,201
Spain,"Syrian Arab Rep.",2017,April,201
"Czech Rep.","Syrian Arab Rep.",2010,May,1
"Czech Rep.","Syrian Arab Rep.",2010,June,1
"Czech Rep.","Syrian Arab Rep.",2010,August,2
"Czech Rep.","Syrian Arab Rep.",2010,November,2
"Czech Rep.","Syrian Arab Rep.",2011,July,2
"Czech Rep.","Syrian Arab Rep.",2011,August,2
"Czech Rep.","Syrian Arab Rep.",2011,October,1
"Czech Rep.","Syrian Arab Rep.",2011,December,2
"Czech Rep.","Syrian Arab Rep.",2012,January,2
"Czech Rep.","Syrian Arab Rep.",2012,February,6
"Czech Rep.","Syrian Arab Rep.",2012,March,4
"Czech Rep.","Syrian Arab Rep.",2012,April,1
"Czech Rep.","Syrian Arab Rep.",2012,May,3
"Czech Rep.","Syrian Arab Rep.",2012,June,1
"Czech Rep.","Syrian Arab Rep.",2012,July,3
"Czech Rep.","Syrian Arab Rep.",2012,August,3
"Czech Rep.","Syrian Arab Rep.",2012,September,5
"Czech Rep.","Syrian Arab Rep.",2012,October,18
"Czech Rep.","Syrian Arab Rep.",2012,November,10
"Czech Rep.","Syrian Arab Rep.",2012,December,1
"Czech Rep.","Syrian Arab Rep.",2013,January,8
"Czech Rep.","Syrian Arab Rep.",2013,February,4
"Czech Rep.","Syrian Arab Rep.",2013,March,5
"Czech Rep.","Syrian Arab Rep.",2013,April,6
"Czech Rep.","Syrian Arab Rep.",2013,May,10
"Czech Rep.","Syrian Arab Rep.",2013,June,5
"Czech Rep.","Syrian Arab Rep.",2013,July,3
"Czech Rep.","Syrian Arab Rep.",2013,August,3
"Czech Rep.","Syrian Arab Rep.",2013,September,3
"Czech Rep.","Syrian Arab Rep.",2013,October,5
"Czech Rep.","Syrian Arab Rep.",2013,November,6
"Czech Rep.","Syrian Arab Rep.",2013,December,11
